Employee classification,Minimum weekly rate(full-time employees),Minimum annual salary,Minimum hourly rate
Market research trainee,776.10,"40,357",20.42
Support employee first year,844.00,"43,888",22.21
Support employee thereafter,868.00,"45,136",22.84
Market research interviewer,868.00,"45,136",22.84
Executive (face-to-face) interviewer and door-to-door interviewer,876.50,"45,578",23.07
Editor/Coder/Keyboard operator,882.80,"45,906",23.23
Team leader,924.20,"48,058",24.32
Field supervisor,992.70,"51,620",26.12
Research assistant,992.70,"51,620",26.12
Field manager,1084.30,"56,384",28.53
Research officer,1084.30,"56,384",28.53
Research manager,1427.20,"74,214",37.56
