Classification,Annual wages,
Level 1 Graduate professional,,
Pay point 1.1 (3 year degree),"51,498",
Pay point 1.1 (4 or 5 year degree),"52,817",
Pay point 1.2,"53,704",
Pay point 1.3,"55,940",
Pay point 1.4,"58,773",
Level 2 Experienced professional/quality auditor/experienced medical research employee,"60,754",
Level 3 Professional/senior (lead) quality auditor/experienced medical research employee,"66,396",
Level 4 Professional/experienced medical research employee,"74,885",
Level 5 Experienced medical research employee,"90,213",
