Classification,Minimum hourly rate,
Training,19.50,
Resort Worker Level 1,20.06,
Resort Worker Level 2,20.83,
Resort Worker Level 3,21.56,
Resort Worker Level 4,22.68,
Resort Worker Level 5,23.42,
Resort Worker Level 6,24.12,
Resort Worker Level 7,24.77,
Classification,Minimum hourly rate,
Instructor Category A,31.04,
Instructor Category B,27.91,
Instructor Category C,24.81,
Instructor Category D,21.69,
Instructor Category E,20.66,
Classification,Snowsports Instructor hourly rate,
Instructor Category A,31.04,
Instructor Category B,27.91,
Instructor Category C,24.81,
Instructor Category D,21.69,
Instructor Category E,20.66,
Classification,Snowsports Instructor hourly rate,
Instructor Category A,38.80,
Instructor Category B,34.89,
Instructor Category C,31.01,
Instructor Category D,27.11,
Instructor Category E,25.83,
